location_Docklands Library,location_Fitzroy Gardens
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
False,True
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
False,True
False,True
False,True
True,False
False,True
False,True
True,False
True,False
True,False
True,False
True,False
False,True
True,False
False,True
False,True
False,True
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
False,True
False,True
False,True
True,False
True,False
False,True
False,True
False,True
True,False
False,True
True,False
False,True
False,True
False,True
False,True
True,False
False,True
False,True
False,True
False,True
False,True
False,True
False,True
True,False
False,True
False,True
True,False
True,False
False,True
True,False
True,False
False,True
True,False
True,False
True,False
False,True
False,True
False,True
True,False
False,True
True,False
True,False
False,True
True,False
False,True
False,True
True,False
True,False
True,False
True,False
False,True
False,True
True,False
True,False
False,True
True,False
False,True
True,False
True,False
False,True
True,False
False,True
False,True
False,True
False,True
False,True
False,True
True,False
False,True
False,True
True,False
True,False
False,True
False,True
True,False
True,False
False,True
False,True
False,True
True,False
False,True
False,True
False,True
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
False,True
False,True
False,True
False,True
True,False
False,True
False,True
True,False
False,True
False,True
False,True
True,False
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
True,False
True,False
False,True
False,True
True,False
False,True
False,True
False,True
False,True
True,False
True,False
False,True
True,False
False,True
True,False
False,True
False,True
False,True
False,True
False,True
True,False
False,True
True,False
True,False
True,False
False,True
False,True
False,True
False,True
False,True
False,True
True,False
True,False
False,True
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
